month,ticker,entry_date,entry_price,matrix_score,rsi_at_entry,rsi_bucket,macd_trend_at_entry,days_elapsed,return_30d_pct,alpha_30d_pct,return_60d_pct,alpha_60d_pct
2026-08,WYNN,2026-08-20,100.1,5,48.9,45-55,FALLING,12,,,,
2026-08,STX,2026-08-20,832.56,5,48.0,45-55,FALLING,12,,,,
2026-08,KEYS,2026-08-20,319.45,4,53.0,45-55,FALLING,12,,,,
2026-08,STLD,2026-08-20,231.01,4,34.6,30-45,FALLING,12,,,,
2026-08,AVGO,2026-08-20,362.48,3,38.3,30-45,FALLING,12,,,,
2026-08,COHR,2026-08-20,287.47,3,55.8,55-70,FALLING,12,,,,
2026-08,ADI,2026-08-20,373.26,3,54.2,45-55,FALLING,12,,,,
2026-08,AFL,2026-08-20,116.51,3,18.2,<30,FLAT,12,,,,
2026-08,GL,2026-08-20,171.46,3,27.6,<30,FALLING,12,,,,
2026-08,LOW,2026-08-20,220.0,3,61.6,55-70,FALLING,12,,,,
2026-08,ONTO,2026-08-20,299.5,3,60.4,55-70,FALLING,12,,,,
2026-08,TRV,2026-08-20,362.22,3,34.9,30-45,FALLING,12,,,,
2026-08,SITM,2026-08-20,618.71,3,58.3,55-70,FALLING,12,,,,
2026-08,RMBS,2026-08-20,90.85,3,51.5,45-55,FALLING,12,,,,
2026-08,DIOD,2026-08-20,94.32,3,58.5,55-70,FALLING,12,,,,
2026-08,CBOE,2026-08-20,280.75,3,40.0,30-45,FALLING,12,,,,
2026-08,NTES,2026-08-20,127.25,3,41.9,30-45,RISING,12,,,,
2026-08,AMKR,2026-08-20,50.89,3,54.1,45-55,FALLING,12,,,,
2026-08,NBIS,2026-08-20,223.9,3,57.6,55-70,FALLING,12,,,,
2026-08,TYL,2026-08-20,346.88,3,61.7,55-70,RISING,12,,,,
